  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
 41.4242 358.6715  205.923  384  4.4188E+00  2.0733E+01
 41.5406 358.7655  206.149  385  4.4472E+00  2.0807E+01
 41.6568 358.8597  206.375  386  4.4755E+00  2.0881E+01
 41.7149 358.9070  206.488  387  4.4895E+00  2.0956E+01
 41.7750 358.9561  206.542  388  4.5056E+00  2.1031E+01
 41.8941 359.0537  206.594  389  4.5394E+00  2.1107E+01
 42.0132 359.1515  206.582  390  4.5747E+00  2.1183E+01
 42.1333 359.2505  206.872  391  4.5983E+00  2.1260E+01
 42.2527 359.3495  207.303  392  4.6181E+00  2.1337E+01
 42.3722 359.4492  207.446  393  4.6451E+00  2.1414E+01
 42.4927 359.5499  207.553  394  4.6731E+00  2.1492E+01
 42.6063 359.6716  207.548  395  4.7022E+00  2.1570E+01
 42.6598 359.7429  207.447  396  4.7190E+00  2.1649E+01
 42.7058 359.8270  207.565  397  4.7282E+00  2.1728E+01
 42.7992 359.9985  207.742  398  4.7508E+00  2.1807E+01
 42.8912   0.1686  208.063  399  4.7701E+00  2.1887E+01
 42.9814   0.3366  208.407  400  4.7881E+00  2.1966E+01
 43.0723   0.5070  208.553  401  4.8078E+00  2.2047E+01
 43.1788   0.7077  208.749  402  4.8287E+00  2.2127E+01
 43.2398   0.8232  208.882  403  4.8399E+00  2.2208E+01
 43.2905   0.9198  209.061  404  4.8474E+00  2.2288E+01
 43.3982   1.1256  209.333  405  4.8646E+00  2.2370E+01
 43.5118   1.3443  209.520  406  4.8850E+00  2.2451E+01
 43.5685   1.4539  209.614  407  4.8953E+00  2.2533E+01
 43.6204   1.5545  210.145  408  4.8924E+00  2.2614E+01
 43.7296   1.7674  210.764  409  4.9001E+00  2.2696E+01
 43.8439   1.9925  210.938  410  4.9216E+00  2.2778E+01
 43.9577   2.2184  211.112  411  4.9431E+00  2.2860E+01
 44.0145   2.3317  211.199  412  4.9537E+00  2.2943E+01
 44.0635   2.4296  210.978  413  4.9702E+00  2.3026E+01
 44.1615   2.6264  211.189  414  4.9846E+00  2.3109E+01
 44.2103   2.7253  211.621  415  4.9822E+00  2.3192E+01
 44.2726   2.8516  212.081  416  4.9822E+00  2.3275E+01
 44.3790   3.0674  212.447  417  4.9945E+00  2.3358E+01
 44.4674   3.2465  212.258  418  5.0196E+00  2.3442E+01
 44.5556   3.4261  212.070  419  5.0449E+00  2.3526E+01
 44.6434   3.6062  211.882  420  5.0714E+00  2.3610E+01
 44.6872   3.6965  211.788  421  5.0855E+00  2.3695E+01
 44.7440   3.7986  211.721  422  5.1024E+00  2.3780E+01
 44.8495   3.9894  211.648  423  5.1324E+00  2.3866E+01
 44.9483   4.1694  211.858  424  5.1512E+00  2.3951E+01
 45.0472   4.3503  212.256  425  5.1635E+00  2.4037E+01
